image,type,style,color,material,shape,details,room_type,price_range,prompt
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEEEA0>,sofa,japanese,beige,boucle,circular,bench seat,theater,standard,"Professional product photography of a japanese beige sofa, made of boucle, circular shape, featuring bench seat, theater in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEEFD0>,sofa,industrial,sage,tweed,circular,pillow back,office,premium,"Professional product photography of a industrial sage sofa, made of tweed, circular shape, featuring pillow back, office in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEF100>,sofa,deco,blush,mohair,tiered,soft padding,living,premium,"Professional product photography of a deco blush sofa, made of mohair, tiered shape, featuring soft padding, living in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEF230>,sofa,classic,ivory,tweed,tufted,middle section,lounge,luxury,"Professional product photography of a classic ivory sofa, made of tweed, tufted shape, featuring middle section, lounge in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEF360>,sofa,organic,olive,suede,serpentine,loose pillows,outdoor,luxury,"Professional product photography of a organic olive sofa, made of suede, serpentine shape, featuring loose pillows, outdoor in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEF490>,sofa,baroque,olive,linen,linear,pillow back,dining,standard,"Professional product photography of a baroque olive sofa, made of linen, linear shape, featuring pillow back, dining in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEF5C0>,sofa,japanese,olive,rush,convertible,loose pillows,lounge,luxury,"Professional product photography of a japanese olive sofa, made of rush, convertible shape, featuring loose pillows, lounge in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEF6F0>,sofa,gothic,charcoal,boucle,circular,high back,lobby,standard,"Professional product photography of a gothic charcoal sofa, made of boucle, circular shape, featuring high back, lobby in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEF820>,sofa,italian,gray,cork,asymmetric,wooden legs,outdoor,standard,"Professional product photography of a italian gray sofa, made of cork, asymmetric shape, featuring wooden legs, outdoor in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEF950>,sofa,japanese,beige,rush,linear,backrest cushions,office,elite,"Professional product photography of a japanese beige sofa, made of rush, linear shape, featuring backrest cushions, office in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEFA80>,sofa,deco,mint,linen,convertible,square arms,theater,premium,"Professional product photography of a deco mint sofa, made of linen, convertible shape, featuring square arms, theater in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEFBB0>,sofa,japanese,taupe,mohair,circular,split seat,theater,budget,"Professional product photography of a japanese taupe sofa, made of mohair, circular shape, featuring split seat, theater in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEFCE0>,sofa,coastal,teal,boucle,nested,fixed cushions,lounge,standard,"Professional product photography of a coastal teal sofa, made of boucle, nested shape, featuring fixed cushions, lounge in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBEEFE10>,sofa,eclectic,coral,wool,convertible,curved corners,living,elite,"Professional product photography of a eclectic coral sofa, made of wool, convertible shape, featuring curved corners, living in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBF04050>,sofa,italian,ochre,polyester,puffy,pillow back,theater,budget,"Professional product photography of a italian ochre sofa, made of polyester, puffy shape, featuring pillow back, theater in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBF04180>,sofa,brutalist,beige,boucle,floating,split seat,library,elite,"Professional product photography of a brutalist beige sofa, made of boucle, floating shape, featuring split seat, library in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBF042B0>,sofa,deco,teal,velvet,modular,thick cushions,dining,luxury,"Professional product photography of a deco teal sofa, made of velvet, modular shape, featuring thick cushions, dining in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBF043E0>,sofa,baroque,beige,cork,nested,soft padding,outdoor,budget,"Professional product photography of a baroque beige sofa, made of cork, nested shape, featuring soft padding, outdoor in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBF04510>,sofa,coastal,orange,denim,nested,removable cushions,theater,elite,"Professional product photography of a coastal orange sofa, made of denim, nested shape, featuring removable cushions, theater in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBF04640>,sofa,retro,gray,rush,floating,fixed cushions,theater,luxury,"Professional product photography of a retro gray sofa, made of rush, floating shape, featuring fixed cushions, theater in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282CBF04770>,sofa,classic,terra,rush,sculptural,thick cushions,lobby,standard,"Professional product photography of a classic terra sofa, made of rush, sculptural shape, featuring thick cushions, lobby in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
